path,method,request_schema,response_schema,auth_required,file_location,function_name,line,full_line
/,GET,unknown,unknown,No,main.py,root,451,"@app.get(""/"")"
/health,GET,unknown,unknown,No,main.py,health,463,"@app.get(""/health"")"
/ready,GET,unknown,unknown,No,main.py,readiness,473,"@app.get(""/ready"")"
/ready/{endpoint_path:path},GET,unknown,unknown,No,main.py,check_endpoint_readiness,490,"@app.get(""/ready/{endpoint_path:path}"")"
/metrics,GET,unknown,unknown,No,main.py,get_prometheus_metrics,512,"@app.get(""/metrics"")"
/metrics/json,GET,unknown,unknown,No,main.py,get_metrics_json,527,"@app.get(""/metrics/json"")"
/rate-limit/stats/{user_id},GET,unknown,unknown,No,main.py,get_user_rate_limit_stats,569,"@app.get(""/rate-limit/stats/{user_id}"")"
/,GET,unknown,unknown,No,main_simple.py,root,104,"@app.get(""/"")"
/health,GET,unknown,unknown,No,main_simple.py,health,116,"@app.get(""/health"")"
/ready,GET,unknown,unknown,No,main_simple.py,readiness,126,"@app.get(""/ready"")"
/api/v1/chat,GET,unknown,unknown,No,main_simple.py,simple_chat,148,"@app.get(""/api/v1/chat"")"
/,GET,unknown,unknown,No,start_server.py,root,33,"@app.get(""/"")"
/health,GET,unknown,unknown,No,start_server.py,health,37,"@app.get(""/health"")"
/api/v1/monitoring/health,GET,unknown,unknown,No,start_server.py,health_check,41,"@app.get(""/api/v1/monitoring/health"")"
/setup,POST,unknown,TwoFactorSetupResponse,No,app/api/two_factor.py,setup_2fa,38,"@router.post(""/setup"", response_model=TwoFactorSetupResponse)"
/confirm,POST,unknown,unknown,No,app/api/two_factor.py,confirm_2fa_setup,68,"@router.post(""/confirm"")"
/verify,POST,unknown,unknown,No,app/api/two_factor.py,verify_2fa,110,"@router.post(""/verify"")"
/disable,POST,unknown,unknown,No,app/api/two_factor.py,disable_2fa,146,"@router.post(""/disable"")"
/status,GET,unknown,TwoFactorStatusResponse,No,app/api/two_factor.py,get_2fa_status,175,"@router.get(""/status"", response_model=TwoFactorStatusResponse)"
/regenerate-backup-codes,POST,unknown,unknown,No,app/api/two_factor.py,regenerate_backup_codes,194,"@router.post(""/regenerate-backup-codes"")"
/register,POST,unknown,UserSchema,Yes,app/api/auth.py,register,25,"@router.post(""/register"", response_model=UserSchema)"
/login,POST,unknown,Token,Yes,app/api/auth.py,login,71,"@router.post(""/login"", response_model=Token)"
/login-email,POST,unknown,Token,Yes,app/api/auth.py,login_with_email,114,"@router.post(""/login-email"", response_model=Token)"
/admin-login,POST,unknown,Token,No,app/api/auth.py,admin_login,141,"@router.post(""/admin-login"", response_model=Token)"
/me,GET,unknown,UserSchema,Yes,app/api/auth.py,read_users_me,277,"@router.get(""/me"", response_model=UserSchema)"
/me,PUT,unknown,UserSchema,No,app/api/auth.py,update_user_me,283,"@router.put(""/me"", response_model=UserSchema)"
/metrics,GET,unknown,unknown,No,app/api/metrics.py,get_metrics,7,"@router.get(""/metrics"")"
/health,GET,unknown,unknown,No,app/api/metrics.py,health_check,17,"@router.get(""/health"")"
/upload,POST,unknown,unknown,No,app/api/files.py,upload_file,49,"@router.post(""/upload"")"
/upload-multiple,POST,unknown,unknown,No,app/api/files.py,upload_multiple_files,97,"@router.post(""/upload-multiple"")"
/download/{filename},GET,unknown,unknown,No,app/api/files.py,download_file,148,"@router.get(""/download/{filename}"")"
/delete/{filename},DELETE,unknown,unknown,No,app/api/files.py,delete_file,170,"@router.delete(""/delete/{filename}"")"
/list,GET,unknown,unknown,No,app/api/files.py,list_files,202,"@router.get(""/list"")"
/dashboard/stats,GET,unknown,unknown,No,app/api/admin_dashboard.py,get_dashboard_stats,35,"@router.get(""/dashboard/stats"")"
/users,GET,unknown,unknown,No,app/api/admin_dashboard.py,get_users,105,"@router.get(""/users"")"
/users/{user_id},GET,unknown,unknown,No,app/api/admin_dashboard.py,get_user_details,167,"@router.get(""/users/{user_id}"")"
/users/{user_id}/toggle-status,PUT,unknown,unknown,No,app/api/admin_dashboard.py,toggle_user_status,235,"@router.put(""/users/{user_id}/toggle-status"")"
/audit-logs,GET,unknown,unknown,No,app/api/admin_dashboard.py,get_audit_logs,288,"@router.get(""/audit-logs"")"
