task_id,severity,frontend_file,line,frontend_call,backend_file,backend_endpoint,recommended_action,notes,effort_estimate
FIX_001,CRITICAL,contexts/AuthContext.js,29,GET api/v1/auth/me,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/auth/me,MEDIUM
FIX_002,CRITICAL,contexts/AuthContext.js,29,GET api/v1/auth/me,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/auth/me,MEDIUM
FIX_003,CRITICAL,contexts/AuthContext.js,29,GET api/v1/auth/me,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/auth/me,MEDIUM
FIX_004,CRITICAL,contexts/AuthContext.js,70,POST api/v1/auth/login-email,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/auth/login-email,MEDIUM
FIX_005,CRITICAL,contexts/AuthContext.js,70,POST api/v1/auth/login-email,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/auth/login-email,MEDIUM
FIX_006,CRITICAL,contexts/AuthContext.js,70,GET api/v1/auth/login-email,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/auth/login-email,MEDIUM
FIX_007,CRITICAL,contexts/AuthContext.js,92,POST api/v1/auth/register,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/auth/register,MEDIUM
FIX_008,CRITICAL,contexts/AuthContext.js,92,POST api/v1/auth/register,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/auth/register,MEDIUM
FIX_009,CRITICAL,contexts/AuthContext.js,92,GET api/v1/auth/register,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/auth/register,MEDIUM
FIX_010,CRITICAL,components/ChatHistory.js,36,GET api/v1/chat/sessions,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/chat/sessions,MEDIUM
FIX_011,CRITICAL,components/ChatHistory.js,36,GET api/v1/chat/sessions,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/chat/sessions,MEDIUM
FIX_012,CRITICAL,components/ChatHistory.js,36,GET api/v1/chat/sessions,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/chat/sessions,MEDIUM
FIX_013,CRITICAL,components/ChatHistory.js,65,POST api/v1/chat/sessions,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/chat/sessions,MEDIUM
FIX_014,CRITICAL,components/ChatHistory.js,65,POST api/v1/chat/sessions,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/chat/sessions,MEDIUM
FIX_015,CRITICAL,components/ChatHistory.js,65,GET api/v1/chat/sessions,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/chat/sessions,MEDIUM
FIX_016,CRITICAL,pages/Chat.js,158,POST api/v1/chat/voice-message,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/chat/voice-message,MEDIUM
FIX_017,CRITICAL,pages/Chat.js,158,POST api/v1/chat/voice-message,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/chat/voice-message,MEDIUM
FIX_018,CRITICAL,pages/Chat.js,158,GET api/v1/chat/voice-message,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/chat/voice-message,MEDIUM
FIX_019,CRITICAL,pages/Chat.js,207,GET api/v1/chat/sessions,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/chat/sessions,MEDIUM
