ID,Title,Severity,Files,Description,Steps to Reproduce,Recommendation,Effort,Priority,Risk
AUDIT-001,Secrets exposed in code,CRITICAL,"backend/config.env, backend/ENV_EXAMPLE.txt","Секретные ключи и пароли хранятся в открытом виде в конфигурационных файлах","1. Открыть backend/config.env\n2. Увидеть SECRET_KEY и другие секреты в открытом виде","Переместить все секреты в переменные окружения, добавить .env в .gitignore",trivial,1,CRITICAL
AUDIT-002,Input validation missing,CRITICAL,"backend/app/api/chat.py:147-294","Отсутствует валидация пользовательского ввода в чат API","1. Отправить POST /api/v1/chat/message с пустым message\n2. Отправить запрос с XSS payload","Добавить Pydantic валидацию для всех входных данных",small,1,CRITICAL
AUDIT-003,Unsafe password hashing,CRITICAL,"backend/app/services/auth_service.py:14","Используется устаревшая схема хеширования bcrypt без соли","1. Создать пользователя с паролем\n2. Проверить хеш в БД","Обновить на Argon2 с правильными параметрами",small,1,CRITICAL
AUDIT-004,No HTTPS in production,CRITICAL,"nginx.conf, docker-compose.prod.yml","Конфигурация не предусматривает обязательное использование HTTPS","1. Развернуть в продакшене\n2. Проверить доступность по HTTP","Настроить HTTPS с TLS 1.2+ и правильными cipher suites",medium,1,CRITICAL
AUDIT-005,RAG system lacks RRF,HIGH,"backend/app/services/rag_service.py:59-115","Отсутствует RRF (Reciprocal Rank Fusion) для объединения BM25 и векторного поиска","1. Выполнить поиск по запросу\n2. Проверить качество результатов","Реализовать RRF с весами для объединения результатов",medium,2,HIGH
AUDIT-006,Document chunking issues,HIGH,"backend/app/services/document_service.py:300-350","Разрезание внутри юридических ссылок, отсутствие overlap","1. Загрузить юридический документ\n2. Проверить качество чанков","Улучшить алгоритм чанкинга с учетом границ предложений",medium,2,HIGH
AUDIT-007,LoRA training problems,HIGH,"backend/app/services/lora_training_service.py:152-184","Неправильные гиперпараметры, отсутствие валидации","1. Запустить LoRA обучение\n2. Проверить метрики","Исправить конфигурацию и добавить мониторинг",large,2,HIGH
AUDIT-008,Vector DB issues,HIGH,"backend/app/services/vector_store_service.py:151-205","Неправильное преобразование расстояний, отсутствие фильтрации","1. Выполнить поиск в векторной БД\n2. Проверить релевантность","Исправить формулы сходства и добавить фильтрацию",medium,2,HIGH
AUDIT-009,No caching system,HIGH,"backend/app/api/chat.py:196-271","Каждый запрос обрабатывается заново, нет кэширования","1. Отправить одинаковые запросы\n2. Измерить время ответа","Добавить Redis кэширование для ответов",medium,3,MEDIUM
AUDIT-010,N+1 database queries,MEDIUM,"backend/app/models/user.py:41-100","N+1 запросы при получении ролей пользователя","1. Получить пользователя с ролями\n2. Проверить количество SQL запросов","Использовать joinedload для оптимизации",small,3,MEDIUM
AUDIT-011,No connection pooling,MEDIUM,"backend/app/core/database.py","Каждый запрос создает новое соединение с БД","1. Выполнить много запросов\n2. Проверить количество соединений","Настроить connection pooling",small,3,MEDIUM
AUDIT-012,Insufficient test coverage,HIGH,"backend/tests/","Покрытие составляет ~15%, отсутствуют интеграционные тесты","1. Запустить pytest --cov\n2. Проверить покрытие","Добавить unit и интеграционные тесты",large,2,HIGH
AUDIT-013,No load testing,MEDIUM,"","Нет тестов производительности","1. Настроить Locust\n2. Запустить нагрузочное тестирование","Добавить нагрузочное тестирование",medium,3,MEDIUM
AUDIT-014,Unused imports,LOW,"47 files","Множество неиспользуемых импортов","1. Запустить ruff check\n2. Проверить F401 ошибки","Автоматически исправить с ruff --fix",trivial,4,LOW
AUDIT-015,Missing type hints,MEDIUM,"Multiple files","Отсутствует типизация в большинстве функций","1. Проверить mypy\n2. Найти функции без типов","Добавить типизацию для всех публичных функций",medium,4,LOW
AUDIT-016,No docstrings,LOW,"Multiple files","Отсутствуют docstrings для функций","1. Проверить документацию\n2. Найти функции без описания","Добавить docstrings для всех публичных функций",small,4,LOW
AUDIT-017,Undefined variables,CRITICAL,"backend/app/models/user.py:70,72,95,96","Неопределенные переменные user_roles","1. Запустить приложение\n2. Проверить ошибки импорта","Исправить импорты и зависимости",small,1,CRITICAL
AUDIT-018,Bare except clauses,MEDIUM,"Multiple files","Использование bare except без указания исключений","1. Найти bare except в коде\n2. Проверить обработку ошибок","Заменить на конкретные исключения",small,3,MEDIUM
AUDIT-019,Boolean comparisons,MEDIUM,"Multiple files","Сравнения с True/False вместо прямых проверок","1. Найти == True/False в коде\n2. Проверить логику","Заменить на прямые проверки",trivial,4,LOW
AUDIT-020,F-strings without placeholders,LOW,"Multiple files","F-строки без переменных","1. Найти f"" без {} в коде\n2. Проверить использование","Заменить на обычные строки",trivial,4,LOW
